Name,Low Res,Walk,Stand,Load,Ready,Fire,Run,Charge,Melee,Prone,Death,Death_2
USPR_USA_Inf_02_NCO,USPR_USA_Inf_01_Private,GFX_USA_Inf_02-1_Walk,GFX_USA_Inf_02-2_Stand,GFX_USA_Inf_02-2_Stand,GFX_USA_Inf_02-2_Stand,GFX_USA_Inf_02-2_Stand,GFX_USA_Inf_02-4_Run,GFX_USA_Inf_02-4_Run,GFX_USA_Inf_02-6_Melee,GFX_USA_Inf_02-7_Prone,GFX_USA_Inf_02-8_Death_2,GFX_USA_Inf_02-8_Death_2
USPR_USA_Inf_03_NCO,USPR_USA_Inf_01_Private,GFX_USA_Inf_03-1_Walk,GFX_USA_Inf_03-2_Stand,GFX_USA_Inf_03-2_Stand,GFX_USA_Inf_03-2_Stand,GFX_USA_Inf_03-2_Stand,GFX_USA_Inf_03-4_Run,GFX_USA_Inf_03-4_Run,GFX_USA_Inf_03-6_Melee,GFX_USA_Inf_03-7_Prone,GFX_USA_Inf_03-8_Death_3,GFX_USA_Inf_03-8_Death_3
USPR_USA_Inf_08_NCO,USPR_USA_Inf_01_Private,GFX_USA_Inf_08-1_Walk,GFX_USA_Inf_08-2_Stand,GFX_USA_Inf_08-2_Stand,GFX_USA_Inf_08-2_Stand,GFX_USA_Inf_08-2_Stand,GFX_USA_Inf_08-4_Run,GFX_USA_Inf_08-4_Run,GFX_USA_Inf_08-6_Melee,GFX_USA_Inf_08-7_Prone,GFX_USA_Inf_08-8_Death_2,GFX_USA_Inf_08-8_Death_2
USPR_USA_Inf_05_NCO,USPR_USA_Inf_01_Private,GFX_USA_Inf_05-1_Walk,GFX_USA_Inf_05-2_Stand,GFX_USA_Inf_05-2_Stand,GFX_USA_Inf_05-2_Stand,GFX_USA_Inf_05-2_Stand,GFX_USA_Inf_05-4_Run,GFX_USA_Inf_05-4_Run,GFX_USA_Inf_05-6_Melee,GFX_USA_Inf_05-7_Prone,GFX_USA_Inf_05-8_Death_2,GFX_USA_Inf_05-8_Death_2
USPR_USA_Inf_06_NCO,USPR_USA_Inf_01_Private,GFX_USA_Inf_06-1_Walk,GFX_USA_Inf_06-2_Stand,GFX_USA_Inf_06-2_Stand,GFX_USA_Inf_06-2_Stand,GFX_USA_Inf_06-2_Stand,GFX_USA_Inf_06-4_Run,GFX_USA_Inf_06-4_Run,GFX_USA_Inf_06-6_Melee,GFX_USA_Inf_06-7_Prone,GFX_USA_Inf_06-8_Death_3,GFX_USA_Inf_06-8_Death_3
USPR_USA_Inf_01_Officer,USPR_USA_Inf_01_Private,GFX_USA_Inf_Off_01-1_Walk,GFX_USA_Inf_Off_01-2_Stand,GFX_USA_Inf_Off_01-2_Stand,GFX_USA_Inf_Off_01-2_Stand,GFX_USA_Inf_Off_01-2_Stand,GFX_USA_Inf_Off_01-4_Run,GFX_USA_Inf_Off_01-5_Charge,GFX_USA_Inf_Off_01-6_Melee,GFX_USA_Inf_Off_01-2_Stand,GFX_USA_Inf_Off_01-8_Death,GFX_USA_Inf_Off_01-8_Death
USPR_USA_Inf_01_Private,USPR_USA_Inf_01_Private,GFX_USA_Inf_01-1_Walk,GFX_USA_Inf_01-2_Stand,GFX_USA_Inf_01-3_Load,GFX_USA_Inf_01-3_Ready,GFX_USA_Inf_01-3_Fire,GFX_USA_Inf_01-4_Run,GFX_USA_Inf_01-5_Charge,GFX_USA_Inf_01-6_Melee,GFX_USA_Inf_01-7_Prone,GFX_USA_Inf_01-8_Death_1,GFX_USA_Inf_01-8_Death_1
USPR_USA_Inf_01_Private_s,USPR_USA_Inf_01_Private_s,GFX_USA_Inf_01-1_Walk_s,GFX_USA_Inf_01-2_Stand_s,GFX_USA_Inf_01-3_Load_s,GFX_USA_Inf_01-3_Ready_s,GFX_USA_Inf_01-3_Fire_s,GFX_USA_Inf_01-4_Run_s,GFX_USA_Inf_01-5_Charge_s,GFX_USA_Inf_01-6_Melee_s,GFX_USA_Inf_01-7_Prone_s,GFX_USA_Inf_01-8_Death_1_s,GFX_USA_Inf_01-8_Death_1_s
USPR_USA_Inf_01_Private_t,USPR_USA_Inf_01_Private_t,GFX_USA_Inf_01-1_Walk_t,GFX_USA_Inf_01-2_Stand_t,GFX_USA_Inf_01-3_Load_t,GFX_USA_Inf_01-3_Ready_t,GFX_USA_Inf_01-3_Fire_t,GFX_USA_Inf_01-4_Run_t,GFX_USA_Inf_01-5_Charge_t,GFX_USA_Inf_01-6_Melee_t,GFX_USA_Inf_01-7_Prone_t,GFX_USA_Inf_01-8_Death_1_t,GFX_USA_Inf_01-8_Death_1_t
USPR_USA_Inf_02_Private,USPR_USA_Inf_01_Private,GFX_USA_Inf_02-1_Walk,GFX_USA_Inf_02-2_Stand,GFX_USA_Inf_02-3_Load,GFX_USA_Inf_02-3_Ready,GFX_USA_Inf_02-3_Fire,GFX_USA_Inf_02-4_Run,GFX_USA_Inf_02-5_Charge,GFX_USA_Inf_02-6_Melee,GFX_USA_Inf_02-7_Prone,GFX_USA_Inf_02-8_Death_2,GFX_USA_Inf_02-8_Death_2
USPR_USA_Inf_02_Private_t,USPR_USA_Inf_01_Private_t,GFX_USA_Inf_02-1_Walk_t,GFX_USA_Inf_02-2_Stand_t,GFX_USA_Inf_02-3_Load_t,GFX_USA_Inf_02-3_Ready_t,GFX_USA_Inf_02-3_Fire_t,GFX_USA_Inf_02-4_Run_t,GFX_USA_Inf_02-5_Charge_t,GFX_USA_Inf_02-6_Melee_t,GFX_USA_Inf_02-7_Prone_t,GFX_USA_Inf_02-8_Death_2_t,GFX_USA_Inf_02-8_Death_2_t
USPR_USA_Inf_02_Private_s,USPR_USA_Inf_01_Private_s,GFX_USA_Inf_02-1_Walk_s,GFX_USA_Inf_02-2_Stand_s,GFX_USA_Inf_02-3_Load_s,GFX_USA_Inf_02-3_Ready_s,GFX_USA_Inf_02-3_Fire_s,GFX_USA_Inf_02-4_Run_s,GFX_USA_Inf_02-5_Charge_s,GFX_USA_Inf_02-6_Melee_s,GFX_USA_Inf_02-7_Prone_s,GFX_USA_Inf_02-8_Death_2_s,GFX_USA_Inf_02-8_Death_2_s
USPR_USA_Inf_03_Private,USPR_USA_Inf_01_Private,GFX_USA_Inf_03-1_Walk,GFX_USA_Inf_03-2_Stand,GFX_USA_Inf_03-3_Load,GFX_USA_Inf_03-3_Ready,GFX_USA_Inf_03-3_Fire,GFX_USA_Inf_03-4_Run,GFX_USA_Inf_03-5_Charge,GFX_USA_Inf_03-6_Melee,GFX_USA_Inf_03-7_Prone,GFX_USA_Inf_03-8_Death_3,GFX_USA_Inf_03-8_Death_3
USPR_USA_Inf_03_Private_t,USPR_USA_Inf_01_Private_t,GFX_USA_Inf_03-1_Walk_t,GFX_USA_Inf_03-2_Stand_t,GFX_USA_Inf_03-3_Load_t,GFX_USA_Inf_03-3_Ready_t,GFX_USA_Inf_03-3_Fire_t,GFX_USA_Inf_03-4_Run_t,GFX_USA_Inf_03-5_Charge_t,GFX_USA_Inf_03-6_Melee_t,GFX_USA_Inf_03-7_Prone_t,GFX_USA_Inf_03-8_Death_3_t,GFX_USA_Inf_03-8_Death_3_t
USPR_USA_Inf_03_Private_s,USPR_USA_Inf_01_Private_s,GFX_USA_Inf_03-1_Walk_s,GFX_USA_Inf_03-2_Stand_s,GFX_USA_Inf_03-3_Load_s,GFX_USA_Inf_03-3_Ready_s,GFX_USA_Inf_03-3_Fire_s,GFX_USA_Inf_03-4_Run_s,GFX_USA_Inf_03-5_Charge_s,GFX_USA_Inf_03-6_Melee_s,GFX_USA_Inf_03-7_Prone_s,GFX_USA_Inf_03-8_Death_3_s,GFX_USA_Inf_03-8_Death_3_s
USPR_USA_Inf_04_Private,USPR_USA_Inf_01_Private,GFX_USA_Inf_04-1_Walk,GFX_USA_Inf_04-2_Stand,GFX_USA_Inf_04-3_Load,GFX_USA_Inf_04-3_Ready,GFX_USA_Inf_04-3_Fire,GFX_USA_Inf_04-4_Run,GFX_USA_Inf_04-5_Charge,GFX_USA_Inf_04-6_Melee,GFX_USA_Inf_04-7_Prone,GFX_USA_Inf_04-8_Death_3,GFX_USA_Inf_04-8_Death_3
USPR_USA_Inf_04_Private_s,USPR_USA_Inf_01_Private_s,GFX_USA_Inf_04-1_Walk_s,GFX_USA_Inf_04-2_Stand_s,GFX_USA_Inf_04-3_Load_s,GFX_USA_Inf_04-3_Ready_s,GFX_USA_Inf_04-3_Fire_s,GFX_USA_Inf_04-4_Run_s,GFX_USA_Inf_04-5_Charge_s,GFX_USA_Inf_04-6_Melee_s,GFX_USA_Inf_04-7_Prone_s,GFX_USA_Inf_04-8_Death_3_s,GFX_USA_Inf_04-8_Death_3_s
USPR_USA_Inf_05_Private,USPR_USA_Inf_01_Private,GFX_USA_Inf_05-1_Walk,GFX_USA_Inf_05-2_Stand,GFX_USA_Inf_05-3_Load,GFX_USA_Inf_05-3_Ready,GFX_USA_Inf_05-3_Fire,GFX_USA_Inf_05-4_Run,GFX_USA_Inf_05-5_Charge,GFX_USA_Inf_05-6_Melee,GFX_USA_Inf_05-7_Prone,GFX_USA_Inf_05-8_Death_2,GFX_USA_Inf_05-8_Death_2
USPR_USA_Inf_05_Private_t,USPR_USA_Inf_01_Private_t,GFX_USA_Inf_05-1_Walk_t,GFX_USA_Inf_05-2_Stand_t,GFX_USA_Inf_05-3_Load_t,GFX_USA_Inf_05-3_Ready_t,GFX_USA_Inf_05-3_Fire_t,GFX_USA_Inf_05-4_Run_t,GFX_USA_Inf_05-5_Charge_t,GFX_USA_Inf_05-6_Melee_t,GFX_USA_Inf_05-7_Prone_t,GFX_USA_Inf_05-8_Death_2_t,GFX_USA_Inf_05-8_Death_2_t
USPR_USA_Inf_05_Private_s,USPR_USA_Inf_01_Private_s,GFX_USA_Inf_05-1_Walk_s,GFX_USA_Inf_05-2_Stand_s,GFX_USA_Inf_05-3_Load_s,GFX_USA_Inf_05-3_Ready_s,GFX_USA_Inf_05-3_Fire_s,GFX_USA_Inf_05-4_Run_s,GFX_USA_Inf_05-5_Charge_s,GFX_USA_Inf_05-6_Melee_s,GFX_USA_Inf_05-7_Prone_s,GFX_USA_Inf_05-8_Death_2_s,GFX_USA_Inf_05-8_Death_2_s
USPR_USA_Inf_06_Private,USPR_USA_Inf_01_Private,GFX_USA_Inf_06-1_Walk,GFX_USA_Inf_06-2_Stand,GFX_USA_Inf_06-3_Load,GFX_USA_Inf_06-3_Ready,GFX_USA_Inf_06-3_Fire,GFX_USA_Inf_06-4_Run,GFX_USA_Inf_06-5_Charge,GFX_USA_Inf_06-6_Melee,GFX_USA_Inf_06-7_Prone,GFX_USA_Inf_06-8_Death_3,GFX_USA_Inf_06-8_Death_3
USPR_USA_Inf_06_Private_t,USPR_USA_Inf_01_Private_t,GFX_USA_Inf_06-1_Walk_t,GFX_USA_Inf_06-2_Stand_t,GFX_USA_Inf_06-3_Load_t,GFX_USA_Inf_06-3_Ready_t,GFX_USA_Inf_06-3_Fire_t,GFX_USA_Inf_06-4_Run_t,GFX_USA_Inf_06-5_Charge_t,GFX_USA_Inf_06-6_Melee_t,GFX_USA_Inf_06-7_Prone_t,GFX_USA_Inf_06-8_Death_3_t,GFX_USA_Inf_06-8_Death_3_t
USPR_USA_Inf_06_Private_s,USPR_USA_Inf_01_Private_s,GFX_USA_Inf_06-1_Walk_s,GFX_USA_Inf_06-2_Stand_s,GFX_USA_Inf_06-3_Load_s,GFX_USA_Inf_06-3_Ready_s,GFX_USA_Inf_06-3_Fire_s,GFX_USA_Inf_06-4_Run_s,GFX_USA_Inf_06-5_Charge_s,GFX_USA_Inf_06-6_Melee_s,GFX_USA_Inf_06-7_Prone_s,GFX_USA_Inf_06-8_Death_3_s,GFX_USA_Inf_06-8_Death_3_s
USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private,GFX_USA_Inf_08-1_Walk,GFX_USA_Inf_08-2_Stand,GFX_USA_Inf_08-3_Load,GFX_USA_Inf_08-3_Ready,GFX_USA_Inf_08-3_Fire,GFX_USA_Inf_08-4_Run,GFX_USA_Inf_08-5_Charge,GFX_USA_Inf_08-6_Melee,GFX_USA_Inf_08-7_Prone,GFX_USA_Inf_08-8_Death_2,GFX_USA_Inf_08-8_Death_2
USPR_USA_Inf_08_Private_t,USPR_USA_Inf_01_Private_t,GFX_USA_Inf_08-1_Walk_t,GFX_USA_Inf_08-2_Stand_t,GFX_USA_Inf_08-3_Load_t,GFX_USA_Inf_08-3_Ready_t,GFX_USA_Inf_08-3_Fire_t,GFX_USA_Inf_08-4_Run_t,GFX_USA_Inf_08-5_Charge_t,GFX_USA_Inf_08-6_Melee_t,GFX_USA_Inf_08-7_Prone_t,GFX_USA_Inf_08-8_Death_2_t,GFX_USA_Inf_08-8_Death_2_t
USPR_USA_Inf_09_Private,USPR_USA_Inf_01_Private,GFX_CSA_Inf_06-1_Walk,GFX_CSA_Inf_06-2_Stand,GFX_CSA_Inf_06-3_Load,GFX_CSA_Inf_06-3_Ready,GFX_CSA_Inf_06-3_Fire,GFX_CSA_Inf_06-4_Run,GFX_CSA_Inf_06-5_Charge,GFX_CSA_Inf_06-6_Melee,GFX_CSA_Inf_06-7_Prone,GFX_CSA_Inf_06-8_Death_1,GFX_CSA_Inf_06-8_Death_1
USPR_USA_Messenger,USPR_USA_Cav_01,GFX_USA_Cav_01-1_Walk,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-2_Stand,GFX_USA_Cav_01-4_Run,GFX_USA_Cav_01-5_Charge,GFX_USA_Cav_01-2_Stand,,GFX_USA_Cav_01-7_Death_1,GFX_USA_Cav_01-7_Death_1
USPR_USA_TRANS_Horses,USPR_TRANS_Horses,GFX_USA_TRANS_Horses_Walk,GFX_USA_TRANS_Horses_Stand,GFX_USA_TRANS_Horses_Stand,GFX_USA_TRANS_Horses_Stand,GFX_USA_TRANS_Horses_Stand,GFX_USA_TRANS_Horses_Walk,GFX_USA_TRANS_Horses_Walk,GFX_USA_TRANS_Horses_Stand,GFX_USA_TRANS_Horses_Stand,GFX_USA_TRANS_Horses_Stand,
USPR_USA_TRANS_Wagon,USPR_USA_TRANS_Wagon,GFX_USA_TRANS_Wagon_Walk,GFX_USA_TRANS_Wagon_Stand,GFX_USA_TRANS_Wagon_Stand,GFX_USA_TRANS_Wagon_Stand,GFX_USA_TRANS_Wagon_Stand,GFX_USA_TRANS_Wagon_Walk,GFX_USA_TRANS_Wagon_Walk,GFX_USA_TRANS_Wagon_Stand,GFX_USA_TRANS_Wagon_Stand,GFX_USA_TRANS_Wagon_Stand

,Dismounted Cavalry,,,,,,,,,,
USPR_CSA_DCav_01,USPR_CSA_DCav_01,GFX_CSA_Cav_01-4_Run_Dismounted,GFX_CSA_Cav_01-2_Kneel_Dismounted,GFX_CSA_Cav_01-3_Load_Dismounted,GFX_CSA_Cav_01-2_Kneel_Dismounted,GFX_CSA_Cav_01-3_Fire_Dismounted,GFX_CSA_Cav_01-4_Run_Dismounted,GFX_CSA_Cav_01-4_Run_Dismounted,GFX_CSA_Cav_01-6_Melee_Dismounted,GFX_CSA_Cav_01-2_Kneel_Dismounted,GFX_CSA_Cav_01-7_Death_Dismounted
USPR_CSA_DCav_02,USPR_CSA_DCav_01,GFX_CSA_Cav_02-4_Run_Dismounted,GFX_CSA_Cav_02-2_Kneel_Dismounted,GFX_CSA_Cav_02-3_Load_Dismounted,GFX_CSA_Cav_02-2_Kneel_Dismounted,GFX_CSA_Cav_02-3_Fire_Dismounted,GFX_CSA_Cav_02-4_Run_Dismounted,GFX_CSA_Cav_02-4_Run_Dismounted,GFX_CSA_Cav_02-6_Melee_Dismounted,GFX_CSA_Cav_02-2_Kneel_Dismounted,GFX_CSA_Cav_02-7_Death_Dismounted

USPR_CSA_DCav_01_s,USPR_CSA_DCav_01,GFX_CSA_Cav_01-4_Run_Dismounted_s,GFX_CSA_Cav_01-2_Kneel_Dismounted_s,GFX_CSA_Cav_01-3_Load_Dismounted_s,GFX_CSA_Cav_01-2_Kneel_Dismounted_s,GFX_CSA_Cav_01-3_Fire_Dismounted_s,GFX_CSA_Cav_01-4_Run_Dismounted_s,GFX_CSA_Cav_01-4_Run_Dismounted_s,GFX_CSA_Cav_01-6_Melee_Dismounted_s,GFX_CSA_Cav_01-2_Kneel_Dismounted_s,GFX_CSA_Cav_01-7_Death_Dismounted_s
USPR_CSA_DCav_02_s,USPR_CSA_DCav_01,GFX_CSA_Cav_02-4_Run_Dismounted_s,GFX_CSA_Cav_02-2_Kneel_Dismounted_s,GFX_CSA_Cav_02-3_Load_Dismounted_s,GFX_CSA_Cav_02-2_Kneel_Dismounted_s,GFX_CSA_Cav_02-3_Fire_Dismounted_s,GFX_CSA_Cav_02-4_Run_Dismounted_s,GFX_CSA_Cav_02-4_Run_Dismounted_s,GFX_CSA_Cav_02-6_Melee_Dismounted_s,GFX_CSA_Cav_02-2_Kneel_Dismounted_s,GFX_CSA_Cav_02-7_Death_Dismounted_s

USPR_USA_DCav_01,USPR_USA_DCav_01,GFX_USA_Cav_01-4_Run_Dismounted,GFX_USA_Cav_01-2_Kneel_Dismounted,GFX_USA_Cav_01-3_Load_Dismounted,GFX_USA_Cav_01-2_Kneel_Dismounted,GFX_USA_Cav_01-3_Fire_Dismounted,GFX_USA_Cav_01-4_Run_Dismounted,GFX_USA_Cav_01-4_Run_Dismounted,GFX_USA_Cav_01-6_Melee_Dismounted,GFX_USA_Cav_01-2_Kneel_Dismounted,GFX_USA_Cav_01-7_Death_Dismounted
USPR_USA_DCav_02,USPR_USA_DCav_01,GFX_USA_Cav_02-4_Run_Dismounted,GFX_USA_Cav_02-2_Kneel_Dismounted,GFX_USA_Cav_02-3_Load_Dismounted,GFX_USA_Cav_02-2_Kneel_Dismounted,GFX_USA_Cav_02-3_Fire_Dismounted,GFX_USA_Cav_02-4_Run_Dismounted,GFX_USA_Cav_02-4_Run_Dismounted,GFX_USA_Cav_02-6_Melee_Dismounted,GFX_USA_Cav_02-2_Kneel_Dismounted,GFX_USA_Cav_02-7_Death_Dismounted

USPR_USA_DCav_01_s,USPR_USA_DCav_01,GFX_USA_Cav_01-4_Run_Dismounted_s,GFX_USA_Cav_01-2_Kneel_Dismounted_s,GFX_USA_Cav_01-3_Load_Dismounted_s,GFX_USA_Cav_01-2_Kneel_Dismounted_s,GFX_USA_Cav_01-3_Fire_Dismounted_s,GFX_USA_Cav_01-4_Run_Dismounted_s,GFX_USA_Cav_01-4_Run_Dismounted_s,GFX_USA_Cav_01-6_Melee_Dismounted_s,GFX_USA_Cav_01-2_Kneel_Dismounted_s,GFX_USA_Cav_01-7_Death_Dismounted_s
USPR_USA_DCav_02_s,USPR_USA_DCav_01,GFX_USA_Cav_02-4_Run_Dismounted_s,GFX_USA_Cav_02-2_Kneel_Dismounted_s,GFX_USA_Cav_02-3_Load_Dismounted_s,GFX_USA_Cav_02-2_Kneel_Dismounted_s,GFX_USA_Cav_02-3_Fire_Dismounted_s,GFX_USA_Cav_02-4_Run_Dismounted_s,GFX_USA_Cav_02-4_Run_Dismounted_s,GFX_USA_Cav_02-6_Melee_Dismounted_s,GFX_USA_Cav_02-2_Kneel_Dismounted_s,GFX_USA_Cav_02-7_Death_Dismounted_s


USPR_CSA_DCav_Cav_01_Dismounted,USPR_CSA_DCav_Cav_01_Dismounted,GFX_CSA_Cav_01-4_Run_Dismounted,GFX_CSA_Cav_01-2_Kneel_Dismounted,GFX_CSA_Cav_01-3_Load_Dismounted,GFX_CSA_Cav_01-2_Kneel_Dismounted,GFX_CSA_Cav_01-3_Fire_Dismounted,GFX_CSA_Cav_01-4_Run_Dismounted,GFX_CSA_Cav_01-4_Run_Dismounted,GFX_CSA_Cav_01-6_Melee,GFX_CSA_Cav_01-2_Kneel_Dismounted,GFX_CSA_Cav_01-7_Death_Dismounted,
USPR_CSA_DCav_Cav_02_Dismounted,USPR_CSA_DCav_Cav_01_Dismounted,GFX_CSA_Cav_02-4_Run_Dismounted,GFX_CSA_Cav_02-2_Kneel_Dismounted,GFX_CSA_Cav_02-3_Load_Dismounted,GFX_CSA_Cav_02-2_Kneel_Dismounted,GFX_CSA_Cav_02-3_Fire_Dismounted,GFX_CSA_Cav_02-4_Run_Dismounted,GFX_CSA_Cav_02-4_Run_Dismounted,GFX_CSA_Cav_02-6_Melee,GFX_CSA_Cav_02-2_Kneel_Dismounted,GFX_CSA_Cav_02-7_Death_Dismounted,

USPR_USA_DCav_Cav_01_Dismounted,USPR_USA_DCav_Cav_01_Dismounted,GFX_USA_Cav_01-4_Run_Dismounted,GFX_USA_Cav_01-2_Kneel_Dismounted,GFX_USA_Cav_01-3_Load_Dismounted,GFX_USA_Cav_01-2_Kneel_Dismounted,GFX_USA_Cav_01-3_Fire_Dismounted,GFX_USA_Cav_01-4_Run_Dismounted,GFX_USA_Cav_01-4_Run_Dismounted,GFX_USA_Cav_01-6_Melee,GFX_USA_Cav_01-2_Kneel_Dismounted,GFX_USA_Cav_01-7_Death_Dismounted,
USPR_USA_DCav_Cav_02_Dismounted,USPR_USA_DCav_Cav_01_Dismounted,GFX_USA_Cav_02-4_Run_Dismounted,GFX_USA_Cav_02-2_Kneel_Dismounted,GFX_USA_Cav_02-3_Load_Dismounted,GFX_USA_Cav_02-2_Kneel_Dismounted,GFX_USA_Cav_02-3_Fire_Dismounted,GFX_USA_Cav_02-4_Run_Dismounted,GFX_USA_Cav_02-4_Run_Dismounted,GFX_USA_Cav_02-6_Melee,GFX_USA_Cav_02-2_Kneel_Dismounted,GFX_USA_Cav_02-7_Death_Dismounted,


,ZW MOD,,,,,,,,,,,
USPR_BZ_Inf_01_NCO,USPR_BZ_Inf_01_Private,GFX_BZ_Inf_01-1_Walk,GFX_BZ_Inf_01-2_Stand,GFX_BZ_Inf_01-2_Stand,GFX_BZ_Inf_01-2_Stand,GFX_BZ_Inf_01-2_Stand,GFX_BZ_Inf_01-4_Run,GFX_BZ_Inf_01-4_Run,GFX_BZ_Inf_01-6_Melee,GFX_BZ_Inf_01-7_Prone,GFX_BZ_Inf_01-8_Death_2,GFX_BZ_Inf_01-8_Death_2
USPR_BZ_Inf_01_Private,USPR_BZ_Inf_01_Private,GFX_BZ_Inf_01-1_Walk,GFX_BZ_Inf_01-2_Stand,GFX_BZ_Inf_01-3_Load,GFX_BZ_Inf_01-3_Ready,GFX_BZ_Inf_01-3_Fire,GFX_BZ_Inf_01-4_Run,GFX_BZ_Inf_01-5_Charge,GFX_BZ_Inf_01-6_Melee,GFX_BZ_Inf_01-7_Prone,GFX_BZ_Inf_01-8_Death_2,GFX_BZ_Inf_01-8_Death_2
USPR_BZ_Inf_01_Private_s,USPR_BZ_Inf_01_Private_s,GFX_BZ_Inf_01-1_Walk_s,GFX_BZ_Inf_01-2_Stand_s,GFX_BZ_Inf_01-3_Load_s,GFX_BZ_Inf_01-3_Ready_s,GFX_BZ_Inf_01-3_Fire_s,GFX_BZ_Inf_01-4_Run_s,GFX_BZ_Inf_01-5_Charge_s,GFX_BZ_Inf_01-6_Melee_s,GFX_BZ_Inf_01-7_Prone_s,GFX_BZ_Inf_01-8_Death_2_s,GFX_BZ_Inf_01-8_Death_2_s
USPR_BZ_Inf_01_Private_t,USPR_BZ_Inf_01_Private_t,GFX_BZ_Inf_01-1_Walk_t,GFX_BZ_Inf_01-2_Stand_t,GFX_BZ_Inf_01-3_Load_t,GFX_BZ_Inf_01-3_Ready_t,GFX_BZ_Inf_01-3_Fire_t,GFX_BZ_Inf_01-4_Run_t,GFX_BZ_Inf_01-5_Charge_t,GFX_BZ_Inf_01-6_Melee_t,GFX_BZ_Inf_01-7_Prone_t,GFX_BZ_Inf_01-8_Death_2_t,GFX_BZ_Inf_01-8_Death_2_t
