UI Name,Graphic Name,loc x (across),loc y (down),Sticky (0/1/2),Button Sound,Unit Sound,Normal (across),Normal (down),Highlighted (across),Highlighted (down),gray (across),gray (down),Active (across),Active (down),mod left,mod top,mod right,mod bottom,func,func2,text,Special,Show Condition,Highlight Condition,,,,,,
GUI_LVL6_Cav,GROUP,GUI_LVL6_Cav_Orders,,,SFX_UI_Orders,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,687,655,,,,0,15,0,17,0,15,0,16,0,0,0,0,moveformfwd:100:0,,Advance 100 Yards,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,712,655,,,,1,15,1,17,1,15,1,16,0,0,0,0,moveformfwd:300:0,,Advance 300 Yards,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,737,655,,,,2,15,2,17,2,15,2,16,0,0,0,0,movefwd:300:1,,Advance to Cover,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,763,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,13,0,0,0,wheelright:45,,Wheelright 45 Degrees,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,763,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,0,0,-13,0,wheelleft:45,,Wheelleft 45 Degrees,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,687,739,,SFX_UI_Click,,15,16,15,17,15,16,15,16,0,0,0,0,Mmoveto,,Command Map,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,713,739,,SFX_UI_Click,,7,15,7,17,7,15,7,16,0,0,0,0,camfollow,,Follow - 2 Clicks Rotate 3 Release,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,738,739,,,,6,15,6,17,6,15,6,16,0,0,0,0,attackmarch,,Attackmarch - Move Unengaged unless Melee,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,763,739,,,,8,15,8,17,8,15,8,16,13,0,0,0,run,,Gallop,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,763,739,,,,8,15,8,17,8,15,8,16,0,0,-13,0,form:DRIL_Lvl6_Cav_Column,run,Attack Column - Gallop,,,,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,967,739,,,,9,6,9,8,9,6,9,7,0,0,0,0,attach,,Attach Regiment,,,#attached == 1,,,,,,
GUI_LVL6_Cav,GFX_BS_Buttons,995,739,,SFX_UI_Click,,10,6,10,8,10,6,10,7,0,0,0,0,detach,,Detach Regiment,,,#attached == 0,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,790,655,,SFX_UI_WheelLeft,,0,0,0,2,0,0,0,1,13,0,0,0,wheelleft,run,Wheel Left,,,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,790,655,,SFX_UI_WheelLeft,,0,0,0,2,0,0,0,1,0,0,-13,0,wheelleft,,Wheel Left Run,,,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,818,655,,SFX_UI_WheelRight,,1,0,1,2,1,0,1,1,13,0,0,0,wheelright,run,Wheel Right,,,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,818,655,,SFX_UI_WheelRight,,1,0,1,2,1,0,1,1,0,0,-13,0,wheelright,,Wheel Right Run,,,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,846,655,,,,2,0,2,2,2,0,2,1,0,0,0,0,mleftflank,,Left Flank,,,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,874,655,,,,3,0,3,2,3,0,3,1,0,0,0,0,mrightflank,,Right Flank,,,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,967,655,,,,7,3,7,5,7,3,7,4,0,0,0,0,form:DRIL_Lvl6_Cav_Column,,Column (Fast),,#formnum == 85,#formnum == 85,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,967,655,,,,3,3,3,5,3,3,3,4,0,0,0,0,form:DRIL_Lvl6_Cav_Column,,Column,,#formnum != 85,#formnum == 84,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,995,655,,,,0,3,0,5,0,3,0,4,0,0,0,0,form:DRIL_Lvl6_Cav_Line,,Line,,,#formnum == 24,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,790,683,,,,11,0,11,2,11,0,11,1,0,0,0,0,stop,,Halt,,,#regstate == 1,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,818,683,,,,12,0,12,2,12,0,12,1,0,0,0,0,run,,Double Quick (Run/Gallop),,#regstate != 5,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,818,683,,SFX_UI_RiseUp,,12,0,12,2,12,0,12,1,0,0,0,0,walk,,Normal Speed (Walk),,#regstate == 5,#regstate == 5,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,846,683,,,,4,0,4,2,4,0,4,1,0,0,0,0,mleftoblique,,Oblique Left,,,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,874,683,,,,5,0,5,2,5,0,5,1,0,0,0,0,mrightoblique,,Oblique Right,,,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,967,683,,,,4,3,4,5,4,3,4,4,0,0,0,0,form:DRIL_Lvl6_Cav_ColumnbyDivision,,Column by Divisions (NOT SHOWN),,#formnum == 0,#formnum == 26,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,790,711,,,,9,0,9,2,9,0,9,1,0,0,0,0,switchcmn,,Mount,,,#mounted == 1,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,818,711,,SFX_UI_RiseUp,,8,0,8,2,8,0,8,1,0,0,0,0,switchcmn,,Dismount,,,#mounted == 0,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,846,711,,,,13,0,13,2,13,0,13,1,0,0,0,0,forcepath,marchmusic,Use Roads,,,#useroads == 1,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,874,711,,,,11,13,11,15,11,13,11,14,0,0,0,0,getaway,,Short Retreat,,,,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,995,711,,,,2,3,2,5,2,3,2,4,0,0,0,0,form:DRIL_Lvl6_Cav_Skirmish,,Skirmish,,,#formnum == 25,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,790,739,,,,0,9,0,11,0,9,0,10,0,0,0,0,charge,,Charge!,,,#regstate == 6,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,818,739,,,,1,9,1,11,1,9,1,10,0,0,0,0,advance,,Advance,,,#regstate == 11,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,846,739,,,,2,9,2,11,2,9,2,10,0,0,0,0,fallback,,Fallback,,,#regstate == 9,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,874,739,,,,3,9,3,11,3,9,3,10,0,0,0,0,retreat,,Retreat,,,#regstate == 10,,,,,,
GUI_LVL6_Cav_Combat,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL6_Cav_Orders,GFX_BS_Buttons,995,655,,,,13,6,13,8,13,6,13,7,0,0,0,0,resupply,,Re-Supply,,,,,,,,,
GUI_LVL6_Cav_Orders,GFX_BS_Buttons,790,683,,,,11,9,11,11,11,9,11,10,0,0,0,0,scout,,Send to scout enemy,,,#cavfollow == 2,,,,,,
GUI_LVL6_Cav_Orders,GFX_BS_Buttons,818,683,,,,12,9,12,11,12,9,12,10,0,0,0,0,guard,,Select unit to Guard,,,#cavfollow == 1,,,,,,
GUI_LVL6_Cav_Orders,GFX_BS_Buttons,846,683,,,,13,9,13,11,13,9,13,10,0,0,0,0,screen,,Send to screen enemy,,,#cavfollow == 3,,,,,,
GUI_LVL6_Cav_Orders,GFX_BS_Buttons,874,683,,,,14,9,14,11,14,9,14,10,0,0,0,0,raid,,Send to raid weak enemy targets,,,#cavfollow == 4,,,,,,
GUI_LVL6_Cav_Orders,GFX_BS_Buttons,995,683,,SFX_UI_Messenger,,6,6,6,8,6,6,6,7,0,0,0,0,loadscreen:SendCourier,,Send Message,,,,,,,,,
GUI_LVL6_Cav_Orders,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL6_Cav_Orders,GFX_BS_Buttons,995,711,,SFX_UI_Messenger,,7,6,7,8,7,6,7,7,0,0,0,0,loadscreen:MessageLog,,Read Messages,,,,,,,,,
GUI_LVL6_Cav_Orders,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL6_Cav,GFX_Groups,905,673,,SFX_UI_Combat,,1,0,0,0,0,0,0,0,0,0,0,0,setgroup:0,,Combat,,,#groupnum == 0,,,,,,
GUI_LVL6_Cav,GFX_Groups,905,711,,SFX_UI_Orders,,1,2,0,2,0,0,0,2,0,0,0,0,setgroup:2,,Orders,,,#groupnum == 2,,,,,,
GUI_LVL6_Cav,GFX_Ammo,521,683,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Weapon: $weapon - Range: #weaponmax yds - Reload Time: #reloadsec secs.,,,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,349,656,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,Visible to Enemy,,#visible == 1,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,371,656,,,,6,0,6,0,0,0,6,0,0,0,0,0,,,Commander Bonus,,#leaderbonus != 0,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,393,656,,,,13,0,13,0,0,0,13,0,0,0,0,0,,,Follow Mode,,#followmode == 1,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,349,678,,,,10,0,10,0,0,0,10,0,0,0,0,0,,,Support Bonus,,,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,371,678,,,,11,0,11,0,0,0,11,0,0,0,0,0,,,Defensive Terrain Bonus from $terrain,,#defbonus == 1,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,393,678,,,,12,0,12,0,0,0,12,0,0,0,0,0,,,High Ground Bonus,,#elevbonus==1,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,349,700,,,,3,0,3,0,0,0,3,0,0,0,0,0,,,Unit Resting,,#resting == 1,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,371,700,,,,4,0,4,0,0,0,4,0,0,0,0,0,,,Unit Rallying,,#rallying == 1,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,393,700,,,,9,0,9,0,0,0,9,0,0,0,0,0,,,Getting Flanked,,#flankfire == 1,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,349,722,,,,1,0,1,0,0,0,1,0,0,0,0,0,,,A Target is Blocked,,#blocked != 0,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,371,722,,,,5,0,5,0,0,0,5,0,0,0,0,0,,,Shooting Over,,#shootover == 1,,,,,,,
GUI_LVL6_Cav,GFX_Status_Icons,393,722,,,,14,0,14,0,0,0,5,0,0,0,0,0,,,TCed,,#takecomm == 1,,,,,,,
GUI_CS_LVL6_Cav,INHERIT,GUI_LVL6_Cav,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_CS_LVL6_Cav,GFX_Flags,0,652,,,,0,1,0,1,0,1,0,1,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL6_Cav,INHERIT,GUI_LVL6_Cav,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_US_LVL6_Cav,GFX_Flags,0,652,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Cav,GFX_MS_WideBackground,343,652,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Cav,GFX_MS_Buttons,521,654,,SFX_UI_Click,,-1,-1,0,0,-1,-1,0,0,0,0,0,0,loadscreen:InGameMenu,,Menu,,,,,,,,,
GUI_LVL5_Cav,GFX_MS_Buttons,549,654,,SFX_UI_Map,,-1,-1,1,0,-1,-1,1,0,0,0,0,0,loadscreen:Map,,Map,,,,,,,,,
GUI_LVL5_Cav,GFX_MS_Buttons,577,654,,SFX_UI_Messenger,,-1,-1,2,0,-1,-1,2,0,0,0,0,0,goto,,Go To Me,,,,,,,,,
GUI_LVL5_Cav,GFX_MS_Buttons,605,654,,SFX_UI_Sword,,-1,-1,3,0,-1,-1,3,0,0,0,0,0,loadscreen:OOB:-1,,Order of Battle,,,,,,,,,
GUI_LVL5_Cav,GFX_Bars,526,723,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_LVL5_Cav,GFX_Bars,526,751,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
GUI_LVL5_Cav,GROUP,GUI_LVL5_Cav_Combat,,,SFX_UI_Combat,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Cav,GROUP,GUI_LVL5_Cav_Move,,,SFX_UI_Move,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Cav,GROUP,GUI_LVL5_Cav_Orders,,,SFX_UI_Orders,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,636,655,,,,9,15,9,17,9,15,9,16,13,0,0,0,Arun,walk,Run - Leader Walks,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,636,655,,,,9,15,9,17,9,15,9,16,0,0,-13,0,Aform:DRIL_Lvl5_Cav_LineHold,moveformfwd:50:0,Advance Line 50 Yards - Leader Moves,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,661,655,,,,10,15,10,17,10,15,10,16,13,0,0,0,Arun,walk,Run - Leader Walks,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,661,655,,,,10,15,10,17,10,15,10,16,0,0,-13,0,Aform:DRIL_Lvl5_Cav_LineHold,moveformfwd:100:0,Advance Line 100 Yards - Leader Moves,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,636,683,,,,11,16,9,17,11,16,11,16,0,0,0,0,Aform:DRIL_Lvl5_Cav_LineHold,,Advance Line 50 Yards - Leader Stays,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,661,683,,,,12,16,10,17,12,16,12,16,13,0,0,0,Aform:DRIL_Lvl5_Cav_LineHold,,Advance Line 1000 Yards - Leader Stays,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,661,683,,,,12,16,10,17,12,16,12,16,0,0,-13,0,Aform:DRIL_Lvl5_Cav_LineHold,,Advance Line 100 Yards - Leader Stays,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,687,655,,,,0,15,0,17,0,15,0,16,0,0,0,0,Amoveformfwd:100:0,,Advance 100 Yards,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,712,655,,,,1,15,1,17,1,15,1,16,0,0,0,0,Amoveformfwd:300:0,,Advance 300 Yards,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,737,655,,,,2,15,2,17,2,15,2,16,0,0,0,0,Amovefwd:300:1,,Advance to Cover,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,763,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,13,0,0,0,wheelright:45,,Wheelright 45 Degrees,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,763,655,,SFX_UI_WheelLeft,,18,0,18,2,18,0,18,1,0,0,-13,0,wheelleft:45,,Wheelleft 45 Degrees,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,636,711,,,,13,13,13,14,13,13,13,13,0,0,0,0,Atcommon,,Take Charge Subordinates,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,661,711,,,,13,15,13,16,13,15,13,15,0,0,0,0,Atcommoff,,Take Charge Subordinates Off,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,636,739,,,,9,6,9,8,9,6,9,7,0,0,0,0,attach,,Attach Brigade,,,#attached == 1,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,661,739,,SFX_UI_Click,,10,6,10,8,10,6,10,7,0,0,0,0,detach,,Detach Brigade,,,#attached == 0,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,713,697,,SFX_UI_Click,,12,12,14,12,12,12,12,12,0,0,0,0,rankprev,,OOB Back,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,759,697,,SFX_UI_Click,,11,12,13,12,11,12,11,12,0,0,0,0,ranknext,,OOB Forward,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,736,684,,SFX_UI_Click,,14,13,14,14,14,13,14,13,0,0,0,0,rankup,,OOB Up,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,736,710,,SFX_UI_Click,,14,15,14,16,14,15,14,15,0,0,0,0,rankdown,,OOB Down,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,687,739,,SFX_UI_Click,,15,16,15,17,15,16,15,16,0,0,0,0,Mmoveto,,Command Map,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,713,739,,SFX_UI_Click,,7,15,7,17,7,15,7,16,0,0,0,0,camfollow,,Follow - 2 Clicks Rotate 3 Release,,,,,,,,,
GUI_LVL5_Cav,GFX_BS_Buttons,738,739,,,,6,15,6,17,6,15,6,16,0,0,0,0,Aattackmarch,,Attackmarch - Move Unengaged unless Melee,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,790,655,,SFX_UI_WheelLeft,,0,0,0,2,0,0,0,1,0,0,0,0,wheelleft,,Wheel Left,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,818,655,,SFX_UI_WheelRight,,1,0,1,2,1,0,1,1,0,0,0,0,wheelright,,Wheel Right,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,846,655,,,,2,0,2,2,2,0,2,1,0,0,0,0,Amleftflank,,Left Flank,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,874,655,,,,3,0,3,2,3,0,3,1,0,0,0,0,Amrightflank,,Right Flank,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,939,655,,,,1,3,1,5,1,3,1,4,13,0,0,0,Aform:DRIL_Lvl5_Cav_DoubleLine,,Double Line  Hold Form,,,#formnum == 29,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,939,655,,,,1,3,1,5,1,3,1,4,0,0,-13,0,Aform:DRIL_Lvl5_Cav_DoubleLine,,Double Line,,,#formnum == 29,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,967,655,,,,3,3,3,5,3,3,3,4,0,0,0,0,Aform:DRIL_Lvl5_Cav_Column,,Column,,,#formnum == 34,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,995,655,,,,0,3,0,5,0,3,0,4,13,0,0,0,Aform:DRIL_Lvl5_Cav_LineHold,,Line Hold Form,,,#formnum == 28,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,995,655,,,,0,3,0,5,0,3,0,4,0,0,-13,0,Aform:DRIL_Lvl5_Cav_Line,,Line,,,#formnum == 28,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,790,683,,,,11,0,11,2,11,0,11,1,0,0,0,0,Astop,,Halt,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,818,683,,,,12,0,12,2,12,0,12,1,0,0,0,0,Arun,,Double Quick (Run/Gallop),,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,846,683,,,,4,0,4,2,4,0,4,1,0,0,0,0,Amleftoblique,,Oblique Left,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,874,683,,,,5,0,5,2,5,0,5,1,0,0,0,0,Amrightoblique,,Oblique Right,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,939,683,,,,6,3,6,5,6,3,6,4,0,0,0,0,Aform:DRIL_Lvl5_Cav_LinewithReserves,,Line with Reserves,,,#formnum == 30,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,967,683,,,,4,3,4,5,4,3,4,4,0,0,0,0,Aform:DRIL_Lvl5_Cav_ColumnbyDivision,,Column by Divisions,,,#formnum == 32,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,995,683,,,,5,3,5,5,5,3,5,4,13,0,0,0,Aform:DRIL_Lvl5_Cav_ColumninLine,,Column of Regiments in Line Hold Form,,,#formnum == 88,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,995,683,,,,5,3,5,5,5,3,5,4,0,0,-13,0,Aform:DRIL_Lvl5_Cav_ColumninLine,,Column of Regiments in Line,,,#formnum == 33,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,790,711,,,,9,0,9,2,9,0,9,1,0,0,0,0,Aonlymount,,Mount,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,818,711,,SFX_UI_RiseUp,,8,0,8,2,8,0,8,1,0,0,0,0,Aonlydismount,,Dismount,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,846,711,,,,13,0,13,2,13,0,13,1,0,0,0,0,Aforcepath,marchmusic,Use Roads,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,874,711,,,,7,3,7,5,7,3,7,4,0,0,0,0,Aform:DRIL_Lvl5_Cav_RoadColumn,,Road Column,,,#formnum == 35,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,967,711,,SFX_UI_RiseUp,,2,6,2,8,2,6,2,7,0,0,0,0,run,,Leader Double Quick (Gallop),,#regstate != 5,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,967,711,,SFX_UI_RiseUp,,2,6,2,8,2,6,2,7,0,0,0,0,walk,,Leader Normal Speed (Walk),,#regstate == 5,#regstate == 5,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,995,711,,,,2,3,2,5,2,3,2,4,0,0,0,0,Aform:DRIL_Lvl5_Cav_Skirmish,,Skirmish,,,#formnum == 31,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,790,739,,,,0,9,0,11,0,9,0,10,0,0,0,0,Acharge,,Charge!,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,818,739,,,,1,9,1,11,1,9,1,10,0,0,0,0,Aadvance,,Advance,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,846,739,,,,2,9,2,11,2,9,2,10,0,0,0,0,Afallback,,Fallback,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,874,739,,,,3,9,3,11,3,9,3,10,0,0,0,0,Aretreat,,Retreat,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,939,739,,SFX_UI_GotoSel,,4,6,4,8,4,6,4,7,0,0,0,0,gotosel,,Go to the Selected Unit,,,,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,967,739,,SFX_UI_RiseUp,,1,6,1,8,1,6,1,7,0,0,0,0,stop,,Leader Halt,,,#regstate == 1,,,,,,
GUI_LVL5_Cav_Combat,GFX_BS_Buttons,995,739,,,,3,6,3,8,3,6,3,7,0,0,0,0,forcepath,,Leader Use Roads,,,#useroads == 1,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,939,655,,,,9,6,9,8,9,6,9,7,0,0,0,0,attach,,Attach Brigade,,,#attached == 1,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,967,655,,SFX_UI_Click,,10,6,10,8,10,6,10,7,0,0,0,0,detach,,Detach Brigade,,,#attached == 0,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,995,655,,,,13,6,13,8,13,6,13,7,0,0,0,0,Aresupply,,Re-Supply,,,,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,790,683,,,,11,9,11,11,11,9,11,10,0,0,0,0,Ascout,,Send to scout enemy,,,,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,818,683,,,,12,9,12,11,12,9,12,10,0,0,0,0,Aguard,,Select unit to Guard,,,,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,846,683,,,,13,9,13,11,13,9,13,10,0,0,0,0,Ascreen,,Send to screen enemy,,,,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,874,683,,,,14,9,14,11,14,9,14,10,0,0,0,0,Araid,,Send to raid weak enemy targets,,,,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,939,683,,,,11,6,11,8,11,6,11,7,0,0,0,0,joinbrig,,Attach Regiment,,,,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,967,683,,SFX_UI_Click,,12,6,12,8,12,6,12,7,0,0,0,0,splitbrig:1,,Detach Regiment,,,,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,995,683,,SFX_UI_Messenger,,6,6,6,8,6,6,6,7,0,0,0,0,loadscreen:SendCourier,,Send Message,,,,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,790,711,,,,4,9,4,11,4,9,4,10,0,0,0,0,orders:blitz,,All out Attack,,,#ordernum == 6,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,818,711,,SFX_UI_Click,,5,9,5,11,5,9,5,10,0,0,0,0,orders:attack,,Attack,,,#ordernum == 5,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,846,711,,SFX_UI_Click,,6,9,6,11,6,9,6,10,0,0,0,0,orders:probe,,Probe,,,#ordernum == 4,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,874,711,,,,7,9,7,11,7,9,7,10,0,0,0,0,orders:none,,None,,,#ordernum == 0,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,939,711,,,,0,6,0,8,0,6,0,7,0,0,0,0,takecommand,,Take Charge from AI,,,#takecomm == 1,,,,,,
GUI_LVL5_Cav_Orders,GFX_BS_Buttons,995,711,,SFX_UI_Messenger,,7,6,7,8,7,6,7,7,0,0,0,0,loadscreen:MessageLog,,Read Messages,,,,,,,,,
